timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1712040339401,1888,127.0.0.1 Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1712040339403,24681,127.0.0.1 CPU,,,,,true,,0,0,0,0,null,0,0,0
1712040339403,50550,127.0.0.1 Memory,,,,,true,,0,0,0,0,null,0,0,0
1712040340403,296,127.0.0.1 Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1712040340404,25126,127.0.0.1 CPU,,,,,true,,0,0,0,0,null,0,0,0
1712040340404,50550,127.0.0.1 Memory,,,,,true,,0,0,0,0,null,0,0,0
1712040341404,208,127.0.0.1 Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1712040341404,25902,127.0.0.1 CPU,,,,,true,,0,0,0,0,null,0,0,0
1712040341405,50570,127.0.0.1 Memory,,,,,true,,0,0,0,0,null,0,0,0
1712040342405,0,127.0.0.1 Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1712040342405,35076,127.0.0.1 CPU,,,,,true,,0,0,0,0,null,0,0,0
1712040342406,50618,127.0.0.1 Memory,,,,,true,,0,0,0,0,null,0,0,0
1712040343406,0,127.0.0.1 Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1712040343406,30467,127.0.0.1 CPU,,,,,true,,0,0,0,0,null,0,0,0
1712040343407,50625,127.0.0.1 Memory,,,,,true,,0,0,0,0,null,0,0,0
1712040344407,0,127.0.0.1 Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1712040344407,28172,127.0.0.1 CPU,,,,,true,,0,0,0,0,null,0,0,0
1712040344407,50646,127.0.0.1 Memory,,,,,true,,0,0,0,0,null,0,0,0
1712040345408,216,127.0.0.1 Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1712040345408,23694,127.0.0.1 CPU,,,,,true,,0,0,0,0,null,0,0,0
1712040345408,50613,127.0.0.1 Memory,,,,,true,,0,0,0,0,null,0,0,0
1712040346409,176,127.0.0.1 Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1712040346409,23057,127.0.0.1 CPU,,,,,true,,0,0,0,0,null,0,0,0
1712040346409,50622,127.0.0.1 Memory,,,,,true,,0,0,0,0,null,0,0,0
1712040347409,0,127.0.0.1 Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1712040347410,23379,127.0.0.1 CPU,,,,,true,,0,0,0,0,null,0,0,0
1712040347410,50605,127.0.0.1 Memory,,,,,true,,0,0,0,0,null,0,0,0
